"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"860Z200US01862","ZCTA5 01862","11430",
"860Z200US01863","ZCTA5 01863","9536",
"860Z200US01864","ZCTA5 01864","15554",
"860Z200US01867","ZCTA5 01867","25522",
"860Z200US01876","ZCTA5 01876","31105",
"860Z200US01879","ZCTA5 01879","12368",
"860Z200US01880","ZCTA5 01880","27071",
"860Z200US01886","ZCTA5 01886","24618",
"860Z200US01887","ZCTA5 01887","23349",
"860Z200US01890","ZCTA5 01890","22970",
"860Z200US01901","ZCTA5 01901","2794",
"860Z200US01902","ZCTA5 01902","50725",
"860Z200US01904","ZCTA5 01904","19944",
"860Z200US01905","ZCTA5 01905","27761",
"860Z200US01906","ZCTA5 01906","28619",
"860Z200US01907","ZCTA5 01907","15148",
"860Z200US01908","ZCTA5 01908","3334",
"860Z200US01913","ZCTA5 01913","17366",
"860Z200US01915","ZCTA5 01915","42341",
"860Z200US01921","ZCTA5 01921","8263",
"860Z200US01922","ZCTA5 01922","3134",
"860Z200US01923","ZCTA5 01923","27987",
"860Z200US01929","ZCTA5 01929","3618",
"860Z200US01930","ZCTA5 01930","29729",
"860Z200US01937","ZCTA5 01937","100",
"860Z200US01938","ZCTA5 01938","13785",
"860Z200US01940","ZCTA5 01940","13326",
"860Z200US01944","ZCTA5 01944","5395",
"860Z200US01945","ZCTA5 01945","20462",
"860Z200US01949","ZCTA5 01949","9779",
"860Z200US01950","ZCTA5 01950","18289",
"860Z200US01951","ZCTA5 01951","3582",
"860Z200US01952","ZCTA5 01952","9236",
"860Z200US01960","ZCTA5 01960","54155",
"860Z200US01965","ZCTA5 01965","329",
"860Z200US01966","ZCTA5 01966","6992",
"860Z200US01969","ZCTA5 01969","6161",
"860Z200US01970","ZCTA5 01970","44451",
"860Z200US01982","ZCTA5 01982","7618",
"860Z200US01983","ZCTA5 01983","6569",
"860Z200US01984","ZCTA5 01984","4979",
"860Z200US01985","ZCTA5 01985","4500",
"860Z200US02019","ZCTA5 02019","16945",
"860Z200US02021","ZCTA5 02021","24370",
"860Z200US02025","ZCTA5 02025","8381",
"860Z200US02026","ZCTA5 02026","25364",
"860Z200US02030","ZCTA5 02030","5923",
"860Z200US02032","ZCTA5 02032","4853",
"860Z200US02035","ZCTA5 02035","18618",
"860Z200US02038","ZCTA5 02038","33261",
"860Z200US02043","ZCTA5 02043","24272",
"860Z200US02045","ZCTA5 02045","10072",
"860Z200US02047","ZCTA5 02047","371",
"860Z200US02048","ZCTA5 02048","23860",
"860Z200US02050","ZCTA5 02050","25956",
"860Z200US02052","ZCTA5 02052","12799",
"860Z200US02053","ZCTA5 02053","13115",
"860Z200US02054","ZCTA5 02054","8460",
"860Z200US02056","ZCTA5 02056","11662",
"860Z200US02061","ZCTA5 02061","11351",
"860Z200US02062","ZCTA5 02062","31611",
"860Z200US02066","ZCTA5 02066","18561",
"860Z200US02067","ZCTA5 02067","18553",
"860Z200US02071","ZCTA5 02071","968",
"860Z200US02072","ZCTA5 02072","29281",
"860Z200US02081","ZCTA5 02081","20584",
"860Z200US02090","ZCTA5 02090","16266",
"860Z200US02093","ZCTA5 02093","12178",
"860Z200US02108","ZCTA5 02108","4228",
"860Z200US02109","ZCTA5 02109","3921",
"860Z200US02110","ZCTA5 02110","2921",
"860Z200US02111","ZCTA5 02111","9716",
"860Z200US02113","ZCTA5 02113","7126",
"860Z200US02114","ZCTA5 02114","14469",
"860Z200US02115","ZCTA5 02115","31604",
"860Z200US02116","ZCTA5 02116","23408",
"860Z200US02118","ZCTA5 02118","29073",
"860Z200US02119","ZCTA5 02119","29175",
"860Z200US02120","ZCTA5 02120","17578",
"860Z200US02121","ZCTA5 02121","28766",
"860Z200US02122","ZCTA5 02122","24385",
"860Z200US02124","ZCTA5 02124","50972",
"860Z200US02125","ZCTA5 02125","34926",
"860Z200US02126","ZCTA5 02126","22734",
"860Z200US02127","ZCTA5 02127","37939",
"860Z200US02128","ZCTA5 02128","43066",
"860Z200US02129","ZCTA5 02129","19120",
"860Z200US02130","ZCTA5 02130","38284",
